Name,CSS/HTML,JavaScript,C#,Java,Functional,iOS,Android,Team
dev 1,3,4,3,2,2,1,0,JS
dev 2,4,4,4,4,2,0,1,JS
dev 3,5,5,1,2,2,0,1,JS
dev 4,4,3,2,1,1,1,0,JS
dev 5,1,1,2,0,0,4,2,iOS
dev 6,0,1,0,0,1,5,3,iOS
dev 7,2,1,0,1,1,5,0,iOS
dev 8,2,0,0,1,0,4,0,iOS
dev 9,2,0,1,0,0,0,3,Android
dev 10,1,1,2,2,2,1,4,Android
dev 11,1,2,2,2,0,0,5,Android
dev 12,2,2,1,0,0,1,3,Android
dev 13,1,2,5,0,2,0,2,.NET
dev 14,2,1,5,0,0,2,0,.NET
dev 15,1,1,5,1,1,2,0,.NET
dev 16,2,0,3,1,0,0,2,.NET
dev 17,1,0,1,4,0,1,0,Java
dev 18,0,2,0,3,0,0,1,Java
dev 19,0,0,1,3,0,0,2,Java
dev 20,2,0,0,5,2,1,0,Java
dev 21,1,1,2,2,4,1,0,Functional
dev 22,2,1,0,1,4,1,0,Functional
dev 23,2,1,1,0,5,1,0,Functional
dev 24,1,2,0,1,5,1,2,Functional
x,4,3,3,1,1,1,2,
y,4,3,1,3,0,1,1,
z,1,1,3,2,3,1,0,
